No DE ESTRATEGIA;AREAS INVOLUCRADAS;TIPO DE INDICADOR;DESCRIPCION DEL INDICADOR;INDICADOR;CALCULO DEL INDICADOR;ANALISIS;NOMBRE DE LA ESTRATEGIA;RESPONSABLE;;cumplimiento plan de desarrollo;cumplimiento seguimiento;
1;Gerencia;G;Mejoramiento continuo de la calidad aplicable a entidades no acreditadas con autoevaluación de la vigencia anterior con postulación para la acreditación formalizada con contrato.;Promedio de calificación de autoevaluación en la vigencia evaluada / Promedio de calificación de autoevaluación de la vigencia anterior;1,27;Mejoramiento continuo de la calidad aplicable a entidades no acreditadas con autoevaluación de la vigencia anterior con postulación para la acreditación formalizada con contrato.;Acreditación mediante servicios de calidad y eficiencia;PAULO;;2,8;;45%
1;Calidad;G;Porcentaje de cumplimiento del cronograma de implementación del Sistema de Gestión de la Calidad (SGC) y el Sistema Único de Acreditación;(Número de actividades completadas/Número total de actividades programadas)*100;100;Porcentaje de cumplimiento del cronograma de implementación del Sistema de Gestión de la Calidad (SGC) y el Sistema Único de Acreditación;Acreditación mediante servicios de calidad y eficiencia;PAULO;;50;;100%
1;Calidad;G;Cumplimiento PAMEC de acceso;(Número de acciones del PAMEC de Acceso cerradas / número total de acciones de PAMEC de Acceso establecidas) *100;100;Cumplimiento PAMEC de acceso;Acreditación mediante servicios de calidad y eficiencia;PAULO;;90;;100%
1;Calidad;G;Cumplimiento PAMEC estándar de direccionamiento;(Número de acciones del PAMEC de Direccionamiento cerradas / número total de acciones de PAMEC de Direccionamiento establecidas) *100;100;Cumplimiento PAMEC estándar de direccionamiento;Acreditación mediante servicios de calidad y eficiencia;PAULO;;100;;100%
1;Calidad;G;Cumplimiento PAMEC estándar de gerencia;(Número de acciones del PAMEC de Gerencia cerradas / número total de acciones de PAMEC de Gerencia establecidas)*100;100;Cumplimiento PAMEC estándar de gerencia;Acreditación mediante servicios de calidad y eficiencia;PAULO;;100;;100%
1;Calidad;G;Cumplimiento PAMEC estándar de seguridad del paciente;(Número de acciones del PAMEC de Seguridad del Paciente cerradas / número total de acciones de PAMEC de Seguridad del Paciente establecidas)*100;100;Cumplimiento PAMEC estándar de seguridad del paciente;Acreditación mediante servicios de calidad y eficiencia;PAULO;;100;;100%
1;Calidad;G;Cumplimiento PAMEC estándar de gestión de ambiente físico;(Número de acciones del PAMEC de Gestión de Ambiente Físico cerradas / número total de acciones de PAMEC de Gestión de Ambiente Físico establecidas) *100;100;Cumplimiento PAMEC estándar de gestión de ambiente físico;Acreditación mediante servicios de calidad y eficiencia;PAULO;;100;;100%
1;Calidad;G;Cumplimiento PAMEC estándar de gestión de tecnología;(Número de acciones delPAMEC de Gestión deTecnología cerradas / número total de acciones de PAMEC de Gestión de Tecnología establecidas)*100;100;Cumplimiento PAMEC estándar de gestión de tecnología;Acreditación mediante servicios de calidad y eficiencia;PAULO;;100;;100%
1;Calidad;G;Cumplimiento PAMEC estándar de sistemas de información;(Número de acciones del PAMEC de Sistemas de Información cerradas / número total de acciones de PAMEC de Sistemas de Información establecidas)*100;100;Cumplimiento PAMEC estándar de sistemas de información;Acreditación mediante servicios de calidad y eficiencia;PAULO;;100;;100%
1;Calidad;G;Cumplimiento PAMEC humanización;(Número de acciones del PAMEC de Humanización cerradas / número total de acciones de PAMEC de Humanización establecidas) *100;100;Cumplimiento PAMEC humanización;Acreditación mediante servicios de calidad y eficiencia;PAULO;;100;;100%
