OBJETIVO ESTRATEGICO;LINEA ESTRATEGICA;CODIGO DEL PROGRAMA;NOMBRE DEL PROGRAMA;CODIGO DEL PROYECTO;NOMBRE DEL PROYECTO;No O FICHA DEL PROYECTO;ACTIVIDAD;TIPO DE GASTO;INDICADOR DEL PRODUCTO;UNIDAD DE MEDIDA DE LA META;META PROGRAMADA DEL PROYECTO;VALOR EJECUTADO DEL PROYECTO;VALOR DEL PROYECTO;VALOR EJECUTADO DEL PROYECTO;FUENTE DE FINANCIACION;FECHA DE INICIO;FECHA DE FINALIZACION;UNIDAD DE MEDIDA DE LA COBERTURA DEL PROYECTO;COBERTURA PROYECTADA;COBERTURA EJECUTADA;AREA RESPONSABLE DE LA EJECUCION;RESPONSABLE
Adoptar un modelo integral de gestion de la calidad promoviendo las buenas practicas la gestion del riesgo individual la renovacion tecnologica y ejecucion de lineamientos claves en el proceso de atencion;Gestion de Calidad al servicios de Todos;hdsa01;Fortalecimiento del Sisitema Obligatorio de Garantia de Calidad de la atencion en salud;hdsa01.2024;Sistema de Información para la Calidad;hdsa01.2024;1 Elaboración y cumplimiento de la programación anual de seguimiento a planes de mejora 2 Verificación del cierre de las actividades propuestas en la vigencia 3 Realizacion de la Evaluacion de acreditacion de acuerdo a la normatividad vigente;FUNCIONAMIENTO;Mejoramiento continuo de calidad aplicable a entidades no acreditadas con autoevaluación;PORCENTAJE;100;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;PAULO
Adoptar un modelo integral de gestion de la calidad promoviendo las buenas practicas la gestion del riesgo individual la renovacion tecnologica y ejecicion de limeamientos claves en el proceso de atencion;Gestion de Calidad al servicios de Todos;hdsa01;Fortalecimiento del Sisitema Obligatorio de Garantia de Calidad de la atencion en salud;hdsa01.2024;Programa de Auditoria para el Mejormaiento continuo de la Calidad;hdsa01.2024;1 Unificación del formato para levantar y gestionar los hallazgos por tipo de auditorías internas externas y otras fuentes para tener un solo cuadro de mando por tipo de auditoria y obtener mayor control sobre la gestión de las acciones de mejora 2 Centralización en calidad de la solicitud de informes visitas y demás que generen informes y requieran planes de mejoramiento;FUNCIONAMIENTO;Efectividad en la auditoría para el mejoramiento continuo de la calidad de la atención en salud;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;PAULO
Adoptar un modelo integral de gestion de la calidad promoviendo las buenas practicas la gestion del riesgo individual la renovacion tecnologica y ejecicion de limeamientos claves en el proceso de atencion;Gestion de Calidad al servicios de Todos;hdsa01;Fortalecimiento del Sisitema Obligatorio de Garantia de Calidad de la atencion en salud;hdsa01.2024;Priorización Actulización o adopción y despliegue de Guias protocolos procedimientos e instructivos clinicos;hdsa01.2024;1 Realizacion de un diagnostico de guias y protocolos a actulizar y adoptar 2 Priorización de guias y protocolos 3 Elaboracion Actulizacion Adopción y socilizacion de guias y protocolos 4 Evaluacion de la implemetacion de las guias y protocolos adoptados por la entidad;FUNCIONAMIENTO;Proporción de guias y protocolos de atencion evaluados sobre el total de guias y protocolos de atencion priorizados;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;PAULO
Adoptar un modelo integral de gestion de la calidad promoviendo las buenas practicas la gestion del riesgo individual la renovacion tecnologica y ejecicion de limeamientos claves en el proceso de atencion;Gestion de Calidad al servicios de Todos;hdsa01;Fortalecimiento del Sisitema Obligatorio de Garantia de Calidad de la atencion en salud;hdsa01.2024;Priorización Actulización o adopción de documentos del Sistema de Gestion de Calidad;hdsa01.2024;1 Realizacion de formato de solicitud de cambios para la actulizacion de documentos del SGC 2 Priorización de los cambios a realizar en los documentos del SGC 3 Actulizacion Adpción y socialización de los cambio realizados a los documentos del SGC;FUNCIONAMIENTO;Porcentaje de cambios realizados en los documentos del SGC sobre numero de cambios solicitados o detectados;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;PAULO
Adoptar la seguridad del paciente como pilar fundamental en la prestacion de los servicios de salud;Gestion de Calidad al servicios de Todos;hdsa02;Gestion del Riesgo asociado a la atencion en Salud;hdsa02.2024;Programa de Seguridad del Paciente;hdsa02.2024;1 Realización de las rondas de seguridad 2 Cierre oportuno de acciones de planes de mejoramiento 3 Aplicación y evaluación de guías médicas de acuerdo a las necesidades 4 Implementación de las barreras de seguridad establecidas en el comité de seguridad del paciente 5 Implementación de la guía de buenas prácticas de seguridad del paciente y paquetes instruccionales de la política de seguridad del paciente del Ministerio de Salud;FUNCIONAMIENTO;Implemetar el 100% de los instrumentos y metodologias del seguridad del paciente determinados por el Minsalud;PORCENTAJE;100;90;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;JEFE DUBISA
Adoptar la seguridad del paciente como pilar fundamental en la prestacion de los servicios de salud;Gestion de Calidad al servicios de Todos;hdsa02;Gestion del Riesgo asociado a la atencion en Salud;hdsa02.2024;Gestion de Eventos Adversos;hdsa02.2024;1 Sensibilización y motivación para el reporte de las fallas de la atención en salud 2 Análisis y gestión de las fallas de la atención en salud;FUNCIONAMIENTO;Gestionar el 100% de los eventos adversos detectados;PORCENTAJE;100;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;JEFE DUBISA
Adoptar la seguridad del paciente como pilar fundamental en la prestacion de los servicios de salud;Gestion de Calidad al servicios de Todos;hdsa02;Gestion del Riesgo asociado a la atencion en Salud;hdsa02.2024;Servicio de Terapia Ocupacional;hdsa02.2024;1Rutinas de cuidado personal como vestirse habilidades motoras finas y planificación motora 2Escribir y copiar anotaciones habilidades motoras finas coordinación manoojo 3Sostener y controlar un lápiz usar las tijeras habilidades motoras finas planificación motora 4Lanzar y atrapar habilidades motoras gruesas como el equilibrio y la coordinación 5Organizar una mochila planificación motora habilidades organizativas 6Reaccionar a información sensorial habilidades de autorregulación;FUNCIONAMIENTO;Gestionar el 100% de recursos utilizados para mantener el equipo de terapia ocupacional;PORCENTAJE;100;82;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DRA LINA-TERAPIA FISICA
Adoptar la seguridad del paciente como pilar fundamental en la prestacion de los servicios de salud;Gestion de Calidad al servicios de Todos;hdsa02;Gestion del Riesgo asociado a la atencion en Salud;hdsa02.2024;Ruta Perinatal Eje Principal Hospital Departamental Sna Antonio La Union Bolivar El Dovio y Versalles;hdsa02.2024;1Captar a toda mujer fertil entre 10 y 49 años y o gestantes antes de la semana 10 2Toda mujer en edad fertil entre los 10 y 49 años debe tener garantia de un método anticonceptivo 3Consulta pre concepcional para la mujer que decida quedar en embarazo 4Diagnóstico médico para continuar el proceso de acuerdo al riesgo 5Ingreso al programa de control prenatal 6Clasificacion del riesgo de la materna para el plan de manejo intervenciones 7Parto de calidad 8Puerperio 9 Recien nacido 10Planificación familiar;FUNCIONAMIENTO;Gestionar la captación del 100% de mujer en edad fertil entre 10 y 49 años y o gestantes antes de la semana 10;PORCENTAJE;100;62;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;JEFE DIANA MARCELA
Mejorar la prestacion del servicio mediante un Modelo Integral de Atención en Salud cumpliendo los lineamientos del Ministerio de Salud y Protección Social a traves de la Gestion de proyectos de mejoramiento y adecuacion infraestructura ante los entes del nivel territorial Departamental y Nacional;Gestion de Calidad al servicios de Todos;hdsa03;Modelo de atención integral y con calidad;hdsa03.2024;Adecuacion y mejoramiento de la infraestructura fisica;hdsa03.2024;1 Realización de diagnostico de necesidades en infraestructura fisica de la ESE2 Estructuración de proyecto de gestion de acuerdo a las exigencias normativas vigentes y los requerimientos establecidos por las entidades territoriales del nivel departamental y nacional 3 Gestion y radicacion de proyectos ante los entes territoriales interesados;FUNCIONAMIENTO;Numero de proyectos Gestionados sobre numero de proyectos estructurados;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;LUISA CORREA
Mejorar la prestacion del servicio mediante un Modelo Integral de Atención en Salud cumpliendo los lineamientos del Ministerio de Salud y Protección Social a traves de la Gestion de proyectos de mejoramiento y adecuacion infraestructura ante los entes del nivel territorial Departamental y Nacional;Gestion de Calidad al servicios de Todos;hdsa03;Modelo de atención integral y con calidad;hdsa03.2024;Plan de Mantenimiento Hospitalario;hdsa03.2024;1 Elaboración y ejecución del plan de mantenimiento hospitalario;FUNCIONAMIENTO;Porcentaje de ejecución del plan de mantenimiento hospitalario Numero de mantenimintos preventivos realizados sobre numero de mantenimientos programados;PORCENTAJE;90;90;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;WILMAR, SEBASTIAN, RUBIEL
